num_dep;presence
986;4
972;8
975;8
977;9
971;10
987;11
988;12
974;13
04;15
32;16
40;16
84;19
47;20
06;21
83;21
2A;21
58;22
973;22
45;23
41;23
60;23
976;23
66;23
03;23
26;24
52;24
37;24
91;24
76;24
31;24
27;24
13;24
92;24
59;24
62;24
2B;25
57;25
85;25
90;25
71;26
80;26
24;26
77;26
30;26
34;26
51;26
82;26
94;26
33;26
68;26
86;27
38;27
75;27
25;27
999;27
15;27
49;27
07;27
21;28
50;28
11;28
81;28
78;29
43;29
87;29
95;29
18;29
14;30
54;30
16;30
72;30
17;30
19;30
70;30
64;30
93;30
29;30
02;30
69;30
36;31
46;31
55;31
10;31
88;31
08;31
73;31
74;31
01;31
56;31
28;32
44;32
67;32
39;33
23;33
42;33
22;33
63;33
12;33
05;34
65;34
61;34
79;34
35;34
09;35
89;35
53;36
48;37
